datetime,symbol,direction,confidence,sl_pts,tp_pts,lots,rrr,trend_h4,trend_h1,rsi_h1,h4_slope
2026-06-08 22:37,XAUUSD,SELL,50.3%,200,400,0.25,1:2.0,BEAR,BEAR,35,-0.194
2026-06-08 22:37,XAUUSD,BUY,42.1%,200,400,0.26,1:2.0,BEAR,BULL,61,-0.251
2026-06-08 22:37,XAUUSD,SELL,42.7%,200,400,0.26,1:2.0,BEAR,BEAR,35,-0.198
2026-06-08 22:37,XAUUSD,SELL,43.2%,200,400,0.26,1:2.0,BEAR,BEAR,24,-0.171
2026-06-08 22:37,XAUUSD,SELL,48.0%,200,400,0.26,1:2.0,BEAR,BEAR,22,-0.183
2026-06-08 22:37,XAUUSD,SELL,50.0%,200,400,0.25,1:2.0,BEAR,BEAR,18,-0.178
2026-06-08 22:37,XAUUSD,SELL,45.9%,200,400,0.25,1:2.0,BEAR,BULL,91,-0.154
2026-06-08 22:37,XAUUSD,SELL,64.0%,200,400,0.26,1:2.0,BEAR,BULL,89,-0.137
2026-06-08 22:37,XAUUSD,BUY,51.5%,200,400,0.26,1:2.0,BEAR,BULL,79,-0.029
2026-06-08 22:37,XAUUSD,BUY,43.1%,200,400,0.26,1:2.0,BEAR,BULL,65,-0.015
2026-06-08 22:38,XAUUSD,SELL,50.3%,200,400,0.25,1:2.0,BEAR,BEAR,35,-0.194
2026-06-08 22:38,XAUUSD,BUY,42.1%,200,400,0.26,1:2.0,BEAR,BULL,61,-0.251
2026-06-08 22:38,XAUUSD,SELL,42.7%,200,400,0.26,1:2.0,BEAR,BEAR,35,-0.198
2026-06-08 22:38,XAUUSD,SELL,43.2%,200,400,0.26,1:2.0,BEAR,BEAR,24,-0.171
2026-06-08 22:38,XAUUSD,SELL,48.0%,200,400,0.26,1:2.0,BEAR,BEAR,22,-0.183
2026-06-08 22:38,XAUUSD,SELL,50.0%,200,400,0.25,1:2.0,BEAR,BEAR,18,-0.178
2026-06-08 22:38,XAUUSD,SELL,45.9%,200,400,0.25,1:2.0,BEAR,BULL,91,-0.154
2026-06-08 22:38,XAUUSD,SELL,64.0%,200,400,0.26,1:2.0,BEAR,BULL,89,-0.137
2026-06-08 22:38,XAUUSD,BUY,51.5%,200,400,0.26,1:2.0,BEAR,BULL,79,-0.029
2026-06-08 22:38,XAUUSD,BUY,43.1%,200,400,0.26,1:2.0,BEAR,BULL,65,-0.015
2026-06-08 22:38,XAUUSD,SELL,50.3%,200,400,0.25,1:2.0,BEAR,BEAR,35,-0.194
2026-06-08 22:38,XAUUSD,BUY,42.1%,200,400,0.26,1:2.0,BEAR,BULL,61,-0.251
2026-06-08 22:38,XAUUSD,SELL,42.7%,200,400,0.26,1:2.0,BEAR,BEAR,35,-0.198
2026-06-08 22:38,XAUUSD,SELL,43.2%,200,400,0.26,1:2.0,BEAR,BEAR,24,-0.171
2026-06-08 22:38,XAUUSD,SELL,48.0%,200,400,0.26,1:2.0,BEAR,BEAR,22,-0.183
2026-06-08 22:38,XAUUSD,SELL,50.0%,200,400,0.25,1:2.0,BEAR,BEAR,18,-0.178
2026-06-08 22:38,XAUUSD,SELL,45.9%,200,400,0.25,1:2.0,BEAR,BULL,91,-0.154
2026-06-08 22:38,XAUUSD,SELL,64.0%,200,400,0.26,1:2.0,BEAR,BULL,89,-0.137
2026-06-08 22:38,XAUUSD,BUY,51.5%,200,400,0.26,1:2.0,BEAR,BULL,79,-0.029
2026-06-08 22:39,XAUUSD,BUY,43.1%,200,400,0.26,1:2.0,BEAR,BULL,65,-0.015
